,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.794246348414483,0.794246348414483,0.7375866602505957
crauste,1.220738245728583,1.220738245728583,0.7234414317034527
daisy_mamil3,1.1974608157251658,1.1974608157251658,0.6488992500954571
daisy_mamil4,0.6621983272817418,0.6621983272817418,0.6070243733513467
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.6038488054787559,0.6038488054787559,0.581804612732992
hiv,1.5473500911401346,1.5473500911401346,0.7963384268407218
lotka_volterra,0.7263014036769075,0.7263014036769075,0.6508151365165409
seir,0.996428453000235,0.996428453000235,0.934985509838754
vanderpol,0.44902444258005103,0.44902444258005103,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
